Legal First Name,M.I,Legal Last Name,Suffix,SSN,Address 1,"Apt#, Suite",City or Town,State,Zip, Date of Birth, Notes,Coverage Start Date 1,Coverage End Date 1,Person Type 1,Connected Employee SSN 1,Use Dependent DOB 1,DOB 1,Notes 1,Coverage Start Date 2,Coverage End Date 2,Person Type 2,Connected Employee SSN 2,Use Dependent DOB 2,DOB 2,Notes 2
Andy,Nixon,Diesel,Jr,544655654,12,12,Cambria,CA,45645,10/22/1989,test 1,10/22/2011,10/12/2015,Employee,654565444,Yes,11/1/1989,test 1,1/1/2016,,Employee,654565444,Yes,11/1/1989,test 1
Brandy,Nixon,Evan,Jr,544655655,12,12,Cambria,CA,45645,10/23/1989,test 2,10/23/2011,10/13/2015,Employee,654565445,Yes,11/2/1989,test 1,1/2/2016,,Employee,654565445,Yes,11/2/1989,test 1
Candy,Nixon,Kim,Jr,544655656,12,12,Cambria,CA,45645,10/24/1989,test 3,10/24/2011,10/14/2015,Employee,654565446,Yes,11/3/1989,test 1,1/3/2016,,Employee,654565446,Yes,11/3/1989,test 1
Dany,Nixon,Kevin,Jr,544655657,12,12,Cambria,CA,45645,10/25/1989,test 4,10/25/2011,10/15/2015,Employee,654565447,Yes,11/4/1989,test 1,1/4/2016,,Employee,654565447,Yes,11/4/1989,test 1
Andy,Nixon,Diesel,Jr,544655658,12,12,Cambria,CA,45645,10/22/1989,test 1,10/22/2011,10/12/2015,Employee,654565448,Yes,11/1/1989,test 1,1/1/2016,,Employee,654565448,Yes,11/1/1989,test 1
Brandy,Nixon,Evan,Jr,544655659,12,12,Cambria,CA,45645,10/23/1989,test 2,10/23/2011,10/13/2015,Employee,654565449,Yes,11/2/1989,test 1,1/2/2016,,Employee,654565449,Yes,11/2/1989,test 1
Candy,Nixon,Kim,Jr,544655660,12,12,Cambria,CA,45645,10/24/1989,test 3,10/24/2011,10/14/2015,Employee,654565450,Yes,11/3/1989,test 1,1/3/2016,,Employee,654565450,Yes,11/3/1989,test 1
Dany,Nixon,Kevin,Jr,544655661,12,12,Cambria,CA,45645,10/25/1989,test 4,10/25/2011,10/15/2015,Employee,654565451,Yes,11/4/1989,test 1,1/4/2016,,Employee,654565451,Yes,11/4/1989,test 1
Andy,Nixon,Diesel,Jr,544655662,12,12,Cambria,CA,45645,10/22/1989,test 1,10/22/2011,10/12/2015,Employee,654565452,Yes,11/1/1989,test 1,1/1/2016,,Employee,654565452,Yes,11/1/1989,test 1
Brandy,Nixon,Evan,Jr,544655663,12,12,Cambria,CA,45645,10/23/1989,test 2,10/23/2011,10/13/2015,Employee,654565453,Yes,11/2/1989,test 1,1/2/2016,,Employee,654565453,Yes,11/2/1989,test 1
Candy,Nixon,Kim,Jr,544655664,12,12,Cambria,CA,45645,10/24/1989,test 3,10/24/2011,10/14/2015,Non-Employee Enrolled,654565454,Yes,11/3/1989,test 1,1/3/2016,,Non-Employee Enrolled,654565454,Yes,11/3/1989,test 1
Dany,Nixon,Kevin,Jr,544655665,12,12,Cambria,CA,45645,10/25/1989,test 4,10/25/2011,10/15/2015,Non-Employee Enrolled,654565455,Yes,11/4/1989,test 1,1/4/2016,,Non-Employee Enrolled,654565455,Yes,11/4/1989,test 1
