Legal First Name,M.I.,Legal Last Name,Suffix,SSN,Address 1,"Apt #, Suite",City or Town,Two Letter State,zip (5 digit),Date of Birth,Notes,Hire Date 1,Termination Date 1,Medical Plan Class Name 1 ,FT/PT Status 1,Don't Apply Waiting Period (Yes or No) 1,Hire Date 2,Termination Date 2,Medical Plan Class Name 2,FT/PT Status 2,Don't Apply Waiting Period (Yes or No) 2,Hire Date 3,Termination Date 3,Medical Plan Class Name 3,FT/PT Status 3,Don't Apply Waiting Period (Yes or No) 3,Hire Date 4,Termination Date 4,Medical Plan Class Name 4,FT/PT Status 4,Don't Apply Waiting Period (Yes or No) 4,Hire Date 5,Termination Date 5,Medical Plan Class Name 5,FT/PT Status 5,Don't Apply Waiting Period (Yes or No) 5,Hire Date 6,Termination Date 6,Medical Plan Class Name 6,FT/PT Status 6,Don't Apply Waiting Period (Yes or No) 6,Hire Date 7,Termination Date 7,Medical Plan Class Name 7,FT/PT Status 7,Don't Apply Waiting Period (Yes or No) 7,Hire Date 8,Termination Date 8,Medical Plan Class Name 8,FT/PT Status 8,Don't Apply Waiting Period (Yes or No) 8,Hire Date 9,Termination Date 9,Medical Plan Class Name 9,FT/PT Status 9,Don't Apply Waiting Period (Yes or No) 9,Hire Date 10,Termination Date 10,Medical Plan Class Name 10,FT/PT Status 10,Don't Apply Waiting Period (Yes or No) 10,Hire Date 11,Termination Date 11,Medical Plan Class Name 11,FT/PT Status 11,Don't Apply Waiting Period (Yes or No) 11,Hire Date 12,Termination Date 12,Medical Plan Class Name 12,FT/PT Status 12,Don't Apply Waiting Period (Yes or No) 12
,,Checking,,111-11-1119,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,Checking,,111-11-1112,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Te,,Checking,,111-11-1113,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testfour,,,,111-11-1114,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testfive,,.,,111-11-1115,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testsix,,Ch,,111-11-1116,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testseven,,Checking,,,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeight,,Checking,,111-11-1118,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testnine,,Checking,,111-11-1111,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testten,,Checking,,111-11-1120,,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testa,,Checking,,111-11-1121,.,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testb,,Checking,,111-11-1122,MA,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testc,,Checking,,111-11-1123,1 Main Street,Apt 32,,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testd,,Checking,,111-11-1124,1 Main Street,Apt 32,.,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teste,,Checking,,111-11-1125,1 Main Street,Apt 32,Gr,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testf,,Checking,,111-11-1126,1 Main Street,Apt 32,Greer&,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testg,,Checking,,111-11-1127,1 Main Street,Apt 32,Greer,,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testh,,Checking,,111-11-1128,1 Main Street,Apt 32,Greer,.,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testi,,Checking,,111-11-1129,1 Main Street,Apt 32,Greer,South Carolina,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testj,,Checking,,111-11-1130,1 Main Street,Apt 32,Greer,EI,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testk,,Checking,,111-11-1131,1 Main Street,Apt 32,Greer,SC,,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testl,,Checking,,111-11-1132,1 Main Street,Apt 32,Greer,SC,1234,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testm,,Checking,,111-11-1133,1 Main Street,Apt 32,Greer,SC,0,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
